S.No. ,Name ,Sector,CMP Rs. ,EPS 12M Rs. ,Mar Cap Rs.Cr. ,P/E ,Ind PE ,ROE 5Yr % ,Sales Var 5Yrs % ,EPS Var 5Yrs %
1,Infosys ,IT,1055,72.59,428074.55,14.23,20.6,30.67,12.2,10.37
2,NTPC ,Power,358.05,27.9,347189.11,12.85,24.65,13.1,10.93,11.93
3,O N G C ,Energy,235.65,32.93,296454.3,7.14,49.55,14.21,16.86,21.43
4,Coal India ,Energy,435.9,50.46,268633.3,8.65,67.81,42.06,13.34,19.61
5,Hindustan Zinc ,Commodities,526.85,32.45,222610.97,16.29,54.57,50.26,12.43,12.09
6,Hindalco Inds. ,Commodities,964.45,59.59,216733.76,12.4,18.05,13.35,15.81,36.17
7,I O C L ,Energy,145.7,29.81,205746.46,4.86,5.41,16.13,16.6,14.24
8,Power Fin.Corpn. ,CPSE,439,78.49,144874.52,5.58,18.19,20.91,10.01,17.14
9,Bank of Baroda ,PSU Bank,279.95,38.38,144772.25,7.33,8.51,13.96,12.56,72.77
10,B P C L ,Energy,315.75,59.57,136988.29,5.25,5.41,23.84,14.61,15.66
11,Union Bank (I) ,PSU Bank,175.7,25.45,134122.45,6.91,8.51,14.13,9.03,41.8
12,Muthoot Finance ,Fin Serv,3095.95,263.79,124292.63,11.78,22.14,22.8,22.04,22.69
13,Canara Bank ,PSU Bank,129.8,19.7,117737.06,6.56,8.51,15.56,12.46,41.58
14,Lupin ,Pharma,2374,116.65,108547.02,18.83,33.72,13.14,13.02,37.18
15,Indus Towers ,Telco,397.4,27.08,104840.58,14.7,15.43,23.68,18.42,15.1
16,Hero Motocorp ,Auto,5018.1,286.96,100408.67,17.27,37.39,21.41,8.9,15.83
17,REC Ltd ,CPSE,365.15,61.93,96152.21,5.83,18.19,21,10.88,14.26
18,H P C L ,Energy,413.6,84.81,88006.72,4.88,5.41,18.33,13.63,11.6
19,Oil India ,Energy,409.55,40.7,66617.75,10.08,49.55,16.91,14.02,11.84
20,Natl. Aluminium ,Commodities,339.55,31.56,62362.86,10.72,18.05,23.14,14.78,34.88
21,Jindal Stain. ,Commodities,692.7,38.74,57107.56,17.64,18.09,21.1,28.65,39.92
22,H U D C O ,Real Estate,210.25,20.15,42089.93,10.42,18.19,14.95,12.59,20.64
23,Escorts Kubota ,Auto Ancillary,2957,213.99,33082.27,15.56,26.09,13.26,10.47,24.18
24,Chola Financial ,Fin Serv,1632,130.01,30645.27,12.54,34.48,18.4,22.96,24.23
25,LIC Housing Fin. ,Fin Serv,552.4,101.87,30385.49,5.45,15.59,13.92,7.72,13.41
26,Karur Vysya Bank ,PSU Bank,293.8,25.97,28395.98,11.31,15.68,16.08,15.15,47.3
27,TVS Holdings ,Auto,13551.35,839.45,27417.22,16.01,34.48,22.88,23.37,38.74
28,Redington ,IT,286.85,19.06,22425.13,14.14,21.61,18.2,15.91,15.81
29,IIFL Finance ,Fin Serv,518.95,39.05,22072.23,13.26,22.14,13.83,17.47,16.65
30,GE Shipping Co ,Shipping,1501,206.11,21429.35,7.3,11.99,17.89,10.15,29.4
31,Sarda Energy ,Commodities,519,31.38,18288.59,16.68,18.09,17.31,20.95,24.6
32,J & K Bank ,Private Bank,159.15,21.43,17525.32,7.45,15.68,14.07,10.15,28.98
33,C P C L ,Energy,1108.45,208.36,16506.08,5.32,5.41,33.32,23.42,64.54
34,Natco Pharma ,Pharma,913,79.2,16352.73,11.58,33.72,18.9,14.72,28.19
35,eClerx Services ,IT,1391.2,75.09,13084.35,18.55,18.57,26.58,21.35,24.16
36,T N Merc. Bank ,Private Bank,759.65,84.47,12029.17,9.01,15.68,14.89,10.03,14.81
37,Can Fin Homes ,Fin Serv,887,81.54,11810.83,10.86,15.59,18.54,15.88,18.94
38,JK Tyre & Indust ,Auto Ancillary,406.95,26.92,11731.93,13.24,22.31,13.63,12.4,20.58
39,Ujjivan Small ,Private Bank,56.97,3.57,11082.16,16.03,16.07,14.62,19.82,187.13
40,BLS Internat. ,IT,260.25,16.68,10715.56,15.63,34.26,31.48,44.35,68.66
41,IIFL Capital ,Fin Serv,339.8,18.02,10651.04,18.96,21.04,25.92,23.55,20.46
42,Zensar Tech. ,IT,451.15,34.05,10265.19,12.93,20.6,16.65,8.51,18.97
43,Strides Pharma ,Pharma,1103.7,60.34,10173.11,17.59,33.72,30.93,7.94,19.95
44,Genus Power ,Power,334.25,19.47,10169.32,17.16,31.31,15.53,50.83,48.44
