ticker,name,sector,roe,revCAGR,epsCAGR,pe,fy_window,rebalance_date
360ONE,360 ONE WAM Ltd,Financial Services,19.52,17.37,19.73,40.39,FY2021-FY2025,2025-12-25
3MINDIA,3M India Ltd,Diversified,17.86,12.94,26.1,104.24,FY2021-FY2025,2025-12-25
ABB,ABB India Ltd,Capital Goods,,,,66.1,FY2021-FY2025,2025-12-25
ACC,ACC Ltd,Construction Materials,14.14,,,11.88,FY2021-FY2025,2025-12-25
ACMESOLAR,ACME Solar Holdings Ltd,Power,8.46,-3.65,23.35,29.57,FY2021-FY2025,2025-12-25
AIAENG,AIA Engineering Ltd,Capital Goods,16.45,8.27,13.62,31.32,FY2021-FY2025,2025-12-25
APLAPOLLO,APL Apollo Tubes Ltd,Capital Goods,24.3,19.47,13.6,45.4,FY2021-FY2025,2025-12-25
AUBANK,AU Small Finance Bank Ltd,Banks,16.21,26.55,8.57,31.6,FY2021-FY2025,2025-12-25
AWL,AWL Agri Business Ltd,Fast Moving Consumer Goods,12.52,11.41,-31.76,33.11,FY2021-FY2025,2025-12-25
AADHARHFC,Aadhar Housing Finance Ltd,Financial Services,15.98,14.56,19.65,20.2,FY2021-FY2025,2025-12-25
AARTIIND,Aarti Industries Ltd,Chemicals,14.37,10.04,-9.48,36.76,FY2021-FY2025,2025-12-25
AAVAS,AAVAS Financiers Ltd,Financial Services,13.76,16.38,14.48,18.72,FY2021-FY2025,2025-12-25
ABBOTINDIA,Abbott India Ltd,Healthcare,31.81,8.26,15.41,39.45,FY2021-FY2025,2025-12-25
ACE,Action Construction Equipment Ltd,Capital Goods,22.59,22.08,37.35,27.42,FY2021-FY2025,2025-12-25
ACUTAAS,Acutaas Chemicals Ltd,Healthcare,19.7,24.18,17.73,48.36,FY2021-FY2025,2025-12-25
ADANIENSOL,Adani Energy Solutions Ltd,Power,10.98,19.08,-4.55,53.19,FY2021-FY2025,2025-12-25
ADANIENT,Adani Enterprises Ltd,Metals & Mining,9.21,19.88,49.01,21.69,FY2021-FY2025,2025-12-25
ADANIGREEN,Adani Green Energy Ltd,Power,15.91,29.12,46.75,111.38,FY2021-FY2025,2025-12-25
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Services,15.98,19.42,15.88,26.24,FY2021-FY2025,2025-12-25
ADANIPOWER,Adani Power Ltd,Power,34.28,16.47,59.01,24.25,FY2021-FY2025,2025-12-25
ATGL,Adani Total Gas Ltd,Oil Gas & Consumable Fuels,21.65,24.14,7.16,96.47,FY2021-FY2025,2025-12-25
ABCAPITAL,Aditya Birla Capital Ltd,Financial Services,14.65,16.1,22.36,25.88,FY2021-FY2025,2025-12-25
ABFRL,Aditya Birla Fashion & Retail Ltd,Consumer Services,-8.37,1.6,,,FY2021-FY2025,2025-12-25
ABLBL,Aditya Birla Lifestyle Brands Ltd,Consumer Services,,,,,FY2021-FY2025,2025-12-25
ABREL,Aditya Birla Real Estate Ltd,Realty,3.68,-34.16,,214.2,FY2021-FY2025,2025-12-25
ABSLAMC,Aditya Birla Sun Life AMC Ltd,Financial Services,29.81,10.52,-35.65,22.04,FY2021-FY2025,2025-12-25
CPPLUS,Aditya Infotech Ltd,Capital Goods,34.61,22.05,-22.88,70.15,FY2021-FY2025,2025-12-25
AEGISLOG,Aegis Logistics Ltd,Oil Gas & Consumable Fuels,17.41,11.97,24.34,33.51,FY2021-FY2025,2025-12-25
AEGISVOPAK,Aegis Vopak Terminals Ltd,Oil Gas & Consumable Fuels,4.55,,,150.76,FY2021-FY2025,2025-12-25
AFCONS,Afcons Infrastructure Ltd,Construction,13.57,6.0,-10.61,31.2,FY2021-FY2025,2025-12-25
AFFLE,Affle 3i Ltd,Information Technology,24.28,34.39,20.79,56.64,FY2021-FY2025,2025-12-25
AJANTPHARM,Ajanta Pharma Ltd,Healthcare,22.46,9.97,7.9,32.85,FY2021-FY2025,2025-12-25
ALKEM,Alkem Laboratories Ltd,Healthcare,18.97,7.9,6.44,28.22,FY2021-FY2025,2025-12-25
ABDL,Allied Blenders & Distillers Ltd,Fast Moving Consumer Goods,4.41,8.43,129.28,65.86,FY2021-FY2025,2025-12-25
ARE&M,Amara Raja Energy & Mobility Ltd,Automobile and Auto Components,13.98,12.43,6.39,22.96,FY2021-FY2025,2025-12-25
AMBER,Amber Enterprises India Ltd,Consumer Durables,8.05,26.9,24.35,138.95,FY2021-FY2025,2025-12-25
AMBUJACEM,Ambuja Cements Ltd,Construction Materials,6.86,,,49.01,FY2021-FY2025,2025-12-25
ANANDRATHI,Anand Rathi Wealth Ltd,Financial Services,38.39,29.13,34.77,68.69,FY2021-FY2025,2025-12-25
ANANTRAJ,Anant Raj Ltd,Realty,5.43,52.47,102.97,36.82,FY2021-FY2025,2025-12-25
ANGELONE,Angel One Ltd,Financial Services,39.68,32.37,29.02,30.15,FY2021-FY2025,2025-12-25
ANTHEM,Anthem Biosciences Ltd,Healthcare,30.7,10.84,-52.09,77.5,FY2021-FY2025,2025-12-25
ANURAS,Anupam Rasayan India Ltd,Chemicals,7.71,12.12,3.82,86.74,FY2021-FY2025,2025-12-25
APARINDS,Apar Industries Ltd,Capital Goods,21.57,23.81,37.28,36.69,FY2021-FY2025,2025-12-25
